"Reference","Qty","Value","PartNo"
"C1,C2,C4,C8","4","100nF","399-C0603C104K5RACTUCT-ND"
"C3,C5","2","4.7uF","399-C0603C475K9PACTUCT-ND"
"C6","1","10nF","399-C0603C103K5RACTUCT-ND"
"C7,C10,C11","3","1uF","399-C0603C105K4RACTUCT-ND"
"C9","1","1nF","311-1489-1-ND"
"F1","1","500mA","MF-MSMF050-2CT-ND"
"J1","1","0532610671","WM7624CT-ND"
"J2","1","10129383-908001ALF","609-10129383-908001ALFCT-ND"
"J3","1","USB4105-GF-A","2073-USB4105-GF-ACT-ND"
"J4,J5,J6,J7","4","5002","36-5002-ND"
"J8,J9","2","5001","36-5001-ND"
"R1,R2","2","22","RMCF0603FT22R0CT-ND"
"R3","1","10k","RMCF0603JT10K0CT-ND"
"R4,R5","2","5.1k","RMCF0603FT5K10CT-ND"
"R6","1","1M","RMCF1206FT1M00CT-ND"
"SW1","1","KMR231NG ULC LFS","CKN10284CT-ND"
"U1","1","STM32F072CBT6","497-14645-ND"
"U2","1","AP2112K-3.3","AP2112K-3.3TRG1DICT-ND"
"U3","1","USBLC6-2SC6","497-5235-1-ND"
