Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C4, C8",0603,4,100nF,C14663
"C10, C11, C12, C7",0603,4,1uF,C14663
"C3, C5",0603,2,4.7uF,C14663
C6,0603,1,10nF,C57112
C9,1206,1,1nF,C9196
D1,D_SMA,1,SMAJ5.0CA,C83324
F1,1206,1,500mA,C6964264
J1,Molex_PicoBlade_53261-0671_1x06-1MP_P1.25mm_Horizontal,1,0532610671,C225115
J2,PinHeader_2x04_P2.54mm_Vertical_SMD,1,10129383-908001ALF,C49326142
J3,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB4105-GF-A,C3020560
"J4, J5, J6, J7",TestPoint_Keystone_5000-5004_Miniature,4,5002,C238123
"J8, J9",TestPoint_Keystone_5000-5004_Miniature,2,5001,C238122
LS1,Buzzer_CUI_CPT-9019S-SMT,1,Speaker,C95163
"R1, R2",0603,2,22,C23345
R3,0603,1,10k,C25804
"R4, R5",0603,2,5.1k,C23186
R6,1206,1,1M,C17927
R7,0603,1,100,C2479061
SW1,SW_Push_1P1T_NO_CK_KMR2,1,KMR231NG ULC LFS,C99271
U1,LQFP-48_7x7mm_P0.5mm,1,STM32F072CBT6,C81720
U2,SOT-23-5,1,AP2112K-3.3,C51118
U3,SOT-23-6,1,USBLC6-2SC6,C7519
