Designator,Mid X,Mid Y,Rotation,Layer
C1,141.0,-105.11371,90.0,top
C10,152.293128,-115.012781,0.0,top
C11,135.573299,-112.254925,0.0,top
C12,134.032424,-105.884057,180.0,top
C2,153.514912,-99.066629,270.0,top
C3,155.0,-99.066629,270.0,top
C4,151.25,-109.5,180.0,top
C5,151.25,-108.0,180.0,top
C6,147.823941,-94.314866,0.0,top
C7,147.823941,-95.814866,0.0,top
C8,155.0,-95.0,90.0,top
C9,157.5,-120.25,180.0,top
D1,158.75,-117.25,0.0,top
F1,136.198581,-115.498716,0.0,top
H1,165.25,-121.75,0.0,top
J1,145.25,-89.5,180.0,top
J2,163.25,-107.0,0.0,top
J3,148.25,-122.067601,0.0,top
J4,135.25,-91.653305,0.0,top
J5,136.918196,-94.593173,0.0,top
J6,135.25,-97.542117,0.0,top
J7,136.918196,-100.483481,0.0,top
J8,156.25,-88.75,0.0,top
J9,159.75,-88.75,0.0,top
JP1,136.770321,-106.70441,180.0,bottom
LS1,136.790885,-113.0,0.0,bottom
R1,149.005244,-110.21317,90.0,top
R2,147.505244,-110.21317,90.0,top
R3,164.292639,-99.063617,90.0,top
R4,138.925,-120.25,180.0,top
R5,138.925,-122.0,0.0,top
R6,157.5,-123.142601,180.0,top
R7,143.040885,-111.087305,90.0,bottom
SW1,160.004838,-99.090547,0.0,top
U1,147.25,-102.0875,180.0,top
U2,135.75,-109.0,270.0,top
U3,148.255244,-114.16317,90.0,top
